Heating Fuel,Measure Values,State,Upgrade Package Assignment,Measure Names
Propane,52090.56409,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,96065.02754,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,105388.1562,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,74493.29096,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,72255.78963,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,126606.6318,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,80541.35192,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,53583.3632,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,38937.45733,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,65237.23532,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,30376.52371,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,86896.88281,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,52521.75312,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,113697.6098,CA,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,125172.5123,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,70260.77615,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,28960.92635,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,28695.9643,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,75027.50945,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,40129.13698,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33905.80578,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,35693.2272,CA,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,30434.28959,CA,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CA,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,101905.872,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,128336.0375,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,93522.81692,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,150497.5743,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,79603.19038,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,45959.90443,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,430572.4141,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,94424.79725,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Fuel Oil,244367.2797,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,66784.49934,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,50796.31332,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33798.39268,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,72551.74236,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,56643.76165,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,36730.6892,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,170728.8441,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,118435.9576,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,132715.6993,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,108747.1679,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,80324.09064,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,79913.81539,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,81472.89528,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,48270.03201,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,121771.7444,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,102433.7654,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,76975.48401,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,74330.35648,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,52262.98059,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,34434.49603,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,64131.96656,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,61804.97915,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,35948.42162,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,105055.8027,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,62998.91962,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,53543.21165,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,199107.4909,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,154387.5305,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,247863.365,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,134534.1776,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,64408.8163,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,69869.44213,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,34659.27794,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,74948.38199,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,36917.89919,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,34767.91306,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,50011.15285,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,53923.32092,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,67588.87947,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,56058.78833,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,40710.50172,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,26775.31423,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,107267.5544,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,55948.41192,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,41904.20564,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,95833.15065,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,134155.0993,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,100594.9877,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,56980.99433,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,38651.92593,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,102740.9622,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,46215.62083,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,104844.6767,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,74143.49569,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,40525.85094,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,42318.4142,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,96830.35114,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,98003.33719,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,70699.26375,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,53616.66662,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,151954.682,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,95274.1683,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,64722.84421,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,48540.21462,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,58881.43972,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,45824.27389,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,31700.61162,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,26548.86606,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,67709.86392,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,53403.58092,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,35409.0828,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33070.59349,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,30264.30798,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,38444.3557,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,36662.82434,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,110198.4764,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,88105.25102,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,42331.2256,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,107344.4454,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,97188.85543,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,61608.63691,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,90709.10873,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,141801.2018,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,75478.29669,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,69838.58289,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,30013.73991,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,120917.7147,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,103077.1891,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,75679.46747,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,49098.36062,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,70947.44077,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,249474.244,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,73933.1523,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,67151.34887,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,48692.26871,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33042.37456,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,22597.05995,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,62931.36811,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,46105.62767,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,42889.69507,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,26958.98393,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,78475.7694,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,65978.86027,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,41739.92221,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,74198.99823,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,103614.9687,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,130666.4658,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,68062.17191,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,47841.9256,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,50001.62006,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,42702.19964,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29794.87859,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,21453.13496,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,38192.36607,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,146726.8375,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,56310.2501,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,82423.91843,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,53009.56484,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,36956.8915,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,122524.0585,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,70703.8617,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,75892.93332,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,56427.04321,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,57059.71243,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,54358.02122,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,55736.65199,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,37945.84038,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29778.78497,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,25977.32552,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,57838.45067,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,46996.12567,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,36002.85541,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29232.79955,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,40185.82306,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,24024.31541,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,58146.53663,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,52815.79775,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,132622.9964,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,145064.2001,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,59816.83937,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,31941.33171,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,87465.95322,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,64097.10129,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,50859.81772,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,53445.13443,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,75331.43171,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,63355.18399,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,80322.50825,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,50587.07755,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,41220.88496,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33014.60567,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,53966.61256,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,74717.82863,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,34865.80034,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,46124.41438,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,41256.78789,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,58511.51389,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,26923.13962,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,25738.13615,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,39030.67127,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,58244.84436,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,76286.89258,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,68744.20805,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,46953.11248,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,37865.36767,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,81049.50005,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,77955.6741,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,60256.4524,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,56091.69639,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,55895.38159,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Electricity,61402.42851,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,49527.89292,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,48528.3135,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,38070.46937,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,30233.59289,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29234.48811,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,54217.16888,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,45056.0075,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,33177.65978,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29820.75404,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Natural Gas,52457.45201,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,54957.92214,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,42378.258,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Natural Gas,29027.74478,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,88116.80241,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,77748.39436,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,52820.71745,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,50169.65641,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Propane,96412.69129,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Propane,79275.28486,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
Propane,58173.26652,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Propane,55213.90834,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,49296.24332,CO,Equip. + conventional envelope,Median Total Cost Target for Assigned Package ($)
Electricity,44428.67951,CO,All equip. swap-out,Median Total Cost Target for Assigned Package ($)
Electricity,103722.4021,CO,Equip. + Phius envelope,Median Total Cost Target for Assigned Package ($)
Electricity,96182.99846,CO,Equip. + IECC envelope,Median Total Cost Target for Assigned Package ($)
